Altium Designer Pick and Place Locations
C:\Users\eisk\Documents\ALTIUM\Projects\nRF9160_Tracker_Demo\nRF9160_tracker_v0_1_2\Project Outputs for _nRF9160_tracker_v0_1_2\production files\_tracker_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       18.06.20
Time:       15:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R12","0R","TopLayer","RESC0603X03L_C","26.2750","1.8500","0",""
"R13","0R","TopLayer","RESC0603X03L_C","29.5250","3.5400","270",""
"L2","2nH","TopLayer","INDC0603X03L_C","28.0775","1.5150","90","Inductor, 350mA, ±3%"
"L3","8.7nH","TopLayer","INDC0603X03L_C","29.1435","1.8000","0","Inductor, 350mA, ±3%"
"L5","11nH","TopLayer","INDC0603X03L_C","29.8113","4.6128","180","Inductor, 350mA, ±3%"
"L4","2.8nH","TopLayer","INDC0603X03L_C","29.5115","5.6628","270","Inductor, 350mA, ±3%"
"C1","3pF","TopLayer","CAPC0603X03L_C","27.3250","1.5150","270","Capacitor, NP0, ±10%, 10V"
"SW2","PTS810","TopLayer","BTN_PTS810","20.4000","5.8000","180","SWITCH TACTILE SPST-NO 0.05A 16V"
"D1","CM1402","TopLayer","CM1402","15.3000","7.6250","360","EMI Network Filter Arrays SIM CARD EMI FILTER WITH ESD PROTECTION"
"U6","SKY65943-11","TopLayer","SKY6594311","28.3764","7.8128","90","GNSS Low-Noise Amplifier Front-End Module with Integrated Pre-Filter and Post-Filter"
"R11","1k","TopLayer","RESC0603X03L_C","17.8191","20.7416","180",""
"R10","143R","TopLayer","RESC0603X03L_C","17.8191","21.5440","180",""
"R9","143R","TopLayer","RESC0603X03L_C","17.8191","22.3464","180",""
"R8","170R","TopLayer","RESC0603X03L_C","17.8191","23.1488","180",""
"Q2","NX3020NAKV","TopLayer","NX3020NAKV","17.7191","19.0250","360","MOSFET 2N-CH 30V 0.2A SOT666"
"Q1","NX3020NAKV","TopLayer","NX3020NAKV","17.7191","24.7675","360","MOSFET 2N-CH 30V 0.2A SOT666"
"LD2","LED RGB","TopLayer","LED_RGB_0606","16.5000","16.4500","360","RGB LED 1.60 mm x 1.60 mm SMD"
"LD1","L0603G","TopLayer","LED_0603_G","19.9000","8.7750","180","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"U5","ADXL362","TopLayer","LGA50P322X300X114-16N","15.5625","11.7670","90","Micropower, 3-Axis, ±2 g/±4 g/±8 g Digital Output MEMS Accelerometer"
"SW1","Switch","TopLayer","Switch-Slide-RA-J-Lead-DPDT-8.5x3.5mm","-7.4750","27.3000","180","SMD slide Switch (ON-ON)"
"R6","1k","TopLayer","RESC0603X03L_C","13.6750","20.5750","90",""
"R2","0R","TopLayer","RESC0603X03L_C","7.3500","14.2500","360",""
"R5","1.2M","TopLayer","RESC0603X03L_C","9.2517","14.9489","270",""
"R3","0R","TopLayer","RESC0603X03L_C","7.3510","13.4239","360",""
"R4","1.5M","TopLayer","RESC0603X03L_C","9.2517","13.6878","270",""
"LD3","L0603G","TopLayer","LED_0603_G","13.8250","21.8250","360","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"L1","10µH","TopLayer","IND1008","13.6000","15.8250","270","Switching regulator chip inductor, 2-Leads, Body 2.5x2.0x1.1 mm"
"J5","SIM8055-6-1-14-00-A_revA1","TopLayer","GCT_SIM8055-6-1-14-00-A_REVA1","7.0500","6.6000","0","Nano SIM Card Connector, Push-Pull Type, 6 Pin, SMT, Profile 1.35mm"
"C14","100nF","TopLayer","CAPC0603X03L_C","13.1000","11.9820","270","Capacitor, X5R, ±10%, 10V"
"C15","100nF","TopLayer","CAPC0603X03L_C","13.1000","10.3000","270","Capacitor, X5R, ±10%, 10V"
"C20","47pF","TopLayer","CAPC0603X03L_C","-4.4050","18.7391","270","Capacitor, NP0"
"C19","47pF","TopLayer","CAPC0603X03L_C","-4.4050","20.1392","270","Capacitor, NP0"
"C17","4.7µF","TopLayer","CAPC1005X04L","-9.4250","22.5000","180","Capacitor, X5R, ±10%, 16V"
"C18","100nF","TopLayer","CAPC0603X03L_C","-5.6800","20.6392","360","Capacitor, X5R, ±10%, 10V"
"C13","10µF","TopLayer","CAPC1005X04L","11.0701","13.9478","90","Capacitor, X5R, ±20%"
"C12","10pF","TopLayer","CAPC0603X03L_C","10.1417","13.6628","90","Capacitor, NP0"
"C11","2.2µF","TopLayer","CAPC1005X04L","13.7500","18.7250","360","Capacitor, X5R, ±10%, 16V"
"C9","100nF","TopLayer","CAPC0603X03L_C","9.1000","24.6000","180","Capacitor, X5R, ±10%, 10V"
"C10","10nF","TopLayer","CAPC0603X03L_C","12.8750","24.6000","360","Capacitor, X5R, ±10%, 10V"
"C7","10µF","TopLayer","CAPC1608X06L","10.2000","21.7750","90","Capacitor, X7R, ±10%"
"C8","10µF","TopLayer","CAPC1608X06L","8.2250","21.7750","90","Capacitor, X7R, ±10%"
"C2","100nF","TopLayer","CAPC0603X03L_C","28.7614","5.6628","270","Capacitor, X5R, ±10%, 10V"
"U4","FT230XQ","TopLayer","QFN65P400X400X80_HS-17N","-8.8620","19.4392","90","USB Bridge, USB to UART USB 2.0 UART Interface 16-QFN (4x4)"
"R15","23R","TopLayer","RESC0603X03L_C","-5.6800","19.0275","180",""
"R14","23R","TopLayer","RESC0603X03L_C","-5.6800","19.8275","180",""
"L6","5.1nH","TopLayer","INDC1005X04L_WW","29.4750","9.9500","180","Inductor, 600mA, ±0.1nH, 120mO, Q=25"
"FB1","120R/550mA","TopLayer","INDC1005X04L","11.0000","24.6250","180","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J2","HDR-3, 1mm","TopLayer","SM03B-SRSS-TB","4.1250","20.6375","180","1.0mm pitch connector side entry SMD"
"C5","47µF","TopLayer","CAPC2012X11L","22.8761","28.7617","180","Capacitor, X5R, ±20%, 6.3V"
"C6","4.7µF","TopLayer","CAPC1608X06L","18.6259","27.7250","90","Capacitor, X5R, ±10%, 6.3V"
"C4","4.7µF","TopLayer","CAPC1608X06L","26.5001","28.7617","360","Capacitor, X5R, ±10%, 6.3V"
"C3","4.7µF","TopLayer","CAPC1608X06L","30.6200","28.7617","180","Capacitor, X5R, ±10%, 6.3V"
"C16","1µF","TopLayer","CAPC0603X03L_C","17.4350","8.1000","360","Capacitor, X5R, ±10%, 10V"
"U2","BGS12SN6","TopLayer","PG-TSNP-6-2","30.6250","2.2500","360","Wideband RF SPDT Switch"
"A1","FR01-S4-250","TopLayer","FRACTUS_CUBE_MXTEND","36.6746","4.0000","270","CUBE mXTEND Antenna Booster (GSM, UMTS, LTE)"
"U3","LTC3554","TopLayer","QFN40P300X300X80_HS-21N","9.6417","17.8471","360","IC USB POWER MANAGER 20UTQFN"
"R7","1k","TopLayer","RESC0603X03L_C","11.2221","20.5761","270",""
"R1","0R","TopLayer","RESC0603X03L_C","7.3510","15.0528","360",""
"U1","nRF9160-SICA","TopLayer","LGA50P1600X1050X104-161N","25.5000","19.2000","270","Low power System-in-Package with integrated LTE-M/NB-IoT modem and GPS"
"J1","USB Micro B","TopLayer","USB-MICRO-B-RA-SMD-PIP","11.3010","27.2121","270","MicroUSB-B-SMT"
